image,blur_sigma,method,stability,n_interfaces,n_consistent
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,2.0,baseline_simple,0.9666666666666667,30,29
3w_animal3_C1_MAX_20231101_3w_wt_animal_3.lif___Image_2.tif,2.0,junction_mapper,0.6333333333333333,30,19
sbiad1540_EGM2_regular_18_20dyn_51.tif,1.0,epg_original,0.9333333333333333,30,28
sbiad1540_EGM2_regular_18_20dyn_51.tif,1.0,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_51.tif,1.0,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_51.tif,1.0,junction_mapper,0.6666666666666666,30,20
sbiad1540_EGM2_regular_18_20dyn_51.tif,1.5,epg_original,0.8333333333333334,30,25
sbiad1540_EGM2_regular_18_20dyn_51.tif,1.5,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_51.tif,1.5,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_51.tif,1.5,junction_mapper,0.5,30,15
sbiad1540_EGM2_regular_18_20dyn_51.tif,2.0,epg_original,0.8,30,24
sbiad1540_EGM2_regular_18_20dyn_51.tif,2.0,epg_blur_robust,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_51.tif,2.0,baseline_simple,1.0,30,30
sbiad1540_EGM2_regular_18_20dyn_51.tif,2.0,junction_mapper,0.4,30,12
