gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
Vip,0.0,0.125017883792834,0.0,0.14285714285714285,7.058315977387682,3361
Vwc2l,0.0,0.11043151542344072,0.0,0.16666666666666666,3.609000748502994,21376
Wfs1,0.0,0.1203871489726063,0.0,0.18181818181818182,4.501396090945353,30084
Zfp366,0.0,0.054840783038775126,0.0,0.0,2.9525341914722447,4972
Zfp536,0.0,0.08425165392040851,0.0,0.0,3.9682658820703733,33308
Spag16,0.0,0.1824619718297366,0.0,0.3333333333333333,4.057113187954309,1926
Sox17,0.0,0.04385656823360625,0.0,0.0,3.513011152416357,6456
Sox11,0.0,0.11214422129932237,0.0,0.15384615384615385,3.5329568292248594,39309
Sox10,0.0,0.07914312479429755,0.0,0.0,5.724867252688412,22411
Ndst3,0.0,0.0732815469178414,0.0,0.0,3.973071025171111,26737
Rnf152,0.0,0.1088572893566415,0.0,0.14285714285714285,4.550680401882233,23589
Ror1,0.0,0.07567410506212226,0.0,0.0,2.2880055788005578,1434
Rorb,0.0,0.12387488462345825,0.0,0.2,5.443862917914041,47767
Rprm,0.0,0.13285351256358494,0.0,0.2,5.307447329740324,20410
Rspo1,0.0,0.09630230021187863,0.0,0.0,3.389808917197452,7065
Rspo2,0.0,0.08102181443461652,0.0,0.0,3.0987882522078456,4869
Rxfp1,0.0,0.06638353525267515,0.0,0.0,4.759542857142857,4375
Satb2,0.0,0.11170494592168415,0.0,0.16666666666666666,4.551151102464332,24672
Sdk2,0.0,0.08123788904109096,0.0,0.0,3.49351920925028,21448
Sema3a,0.0,0.08909688314342125,0.0,0.0,3.34467894530594,17863
Sema3d,0.0,0.07187822375516194,0.0,0.0,3.1746926229508197,5856
Sema3e,0.0,0.11414458765063838,0.0,0.16666666666666666,4.045204642638974,14733
Sema5b,0.0,0.059545358469902394,0.0,0.0,2.9356620185006213,7243
Sema6a,0.0,0.08684284582896322,0.0,0.0,3.887181972377029,41270
Shisa6,0.0,0.10144653443245598,0.0,0.0,3.160103770962661,10793
Siglech,0.0,0.07581101890875465,0.0,0.0,5.229189306672462,9202
Sipa1l3,0.0,0.1070599359844147,0.0,0.0,3.216372939169983,35180
Sla,0.0,0.0594613846381688,0.0,0.0,2.798302872062663,3064
Slc39a12,0.0,0.1309817515954894,0.0,0.2,4.701907179284167,42943
Slc44a5,0.0,0.10744703462468246,0.0,0.0,3.3354948278524006,12954
Slc6a3,0.0,0.12725488017449488,0.0,0.1607142857142857,4.199300699300699,286
Slfn5,0.0,0.06317088398278319,0.0,0.0,2.6505513146734523,4716
Slit2,0.0,0.11296575625849822,0.0,0.16666666666666666,4.466796152423234,32436
Sncg,0.0,0.14537523181273582,0.0,0.25,4.311310190369541,4465
Sntb1,0.0,0.06905699855128426,0.0,0.0,2.8015584415584414,3850
Sorcs3,0.0,0.0884732377295474,0.0,0.0,3.818658360556104,26326
Ndst4,0.0,0.10754401347679883,0.0,0.125,3.410296960112458,5691
Mdga1,0.0,0.10585759920215647,0.0,0.1,3.5627353922307115,18586
Myo16,0.0,0.08304468958537096,0.0,0.0,3.0390414219965085,18903
Chrm2,0.0,0.08698181217437986,0.0,0.0,2.926018197573657,18464
Cd24a,0.0,0.11102778669320609,0.0,0.059742647058823525,3.6243659420289855,11040
Cd300c2,0.0,0.04985978972369745,0.0,0.0,3.950425222982784,4821
Cd44,0.0,0.09076698547919491,0.0,0.0,2.7743457743457745,2331
Cd53,0.0,0.08212416046818041,0.0,0.0,4.617016059825916,8157
Cd68,0.0,0.0741178793194959,0.0,0.0,3.425921375921376,8140
Cd93,0.0,0.0841761203128406,0.0,0.0,3.7224358974358975,7800
Cdh13,0.0,0.12642341646553484,0.0,0.2,5.758590965216784,42923
Cdh20,0.0,0.07943852835791204,0.0,0.0,3.1758559285018313,29763
Cdh4,0.0,0.0938985358589285,0.0,0.07142857142857142,3.8788715888163403,23892
Cdh6,0.0,0.07651361748289648,0.0,0.0,3.4824950944955075,19366
