edge_type,xenium_breast,xenium_mouse_brain,xenium_colon,allen_merfish,mibi_glioma,visium_breast,stereoseq_brain,stereoseq_embryo_e95,cosmx_colon,cosmx_pancreas
neural__unassigned,0,0.173474675176879,0,0,0.0194552529182879,0,0.283894982990299,0.000837731423305688,0.000465646526116347,0.000724379262693354
bcell__mural_smc,0,0,0.00016484166241622,0,0,0,0,0,0.000204723903723567,0
bcell__proliferating,0,0,1.19450480011754e-06,0,0,0,0,0,1.20425825719745e-05,0
endothelial__proliferating,0,0,1.19450480011754e-06,0,0,0,0,0.00184300913127251,0,0
epithelial__mast,0,0,3.94186584038788e-05,0,0,0,0,0,0.000429518778400424,4.45771853965141e-05
epithelial__nk,0,0,0.000204260320820099,0,0,0,0,0,2.00709709532908e-05,0
epithelial__proliferating,0,0,0.000273541599226917,0,0,0,0,0,0.000116411631529087,0
fibroblast__proliferating,0,0,2.38900960023508e-05,0,0,0,0,0.00100527770796683,1.60567767626327e-05,0
mural_smc__proliferating,0,0,1.07505432010579e-05,0,0,0,0,8.37731423305688e-05,0,0
myeloid__proliferating,0,0,1.07505432010579e-05,0,0,0,0,0,1.20425825719745e-05,0
proliferating__proliferating,0,0,1.19450480011754e-06,0,0,0,0,0.357627544609198,0,0
proliferating__tcell,0,0,2.15010864021157e-05,0,0,0,0,0,0,0
proliferating__unassigned,0,0,0.000284292142427974,0,0,0,2.04525466829378e-05,0.31523833458993,0.000192681321151592,0
tumor_prolif__unassigned,0,0,0,0,0.0428015564202335,0,0,0,0,0
tumor_prolif__tumor_prolif,0,0,0,0,0.0389105058365759,0,0,0,0,0
neural__tumor_prolif,0,0,0,0,0.0194552529182879,0,0,0,0,0
endothelial__tumor_prolif,0,0,0,0,0.0155642023346304,0,0,0,0,0
bcell__tumor_prolif,0,0,0,0,0.0116731517509728,0,0,0,0,0
myeloid__tumor_prolif,0,0,0,0,0.00389105058365759,0,0,0,0,0
tcell__tumor_prolif,0,0,0,0,0.00389105058365759,0,0,0,0,0
bcell__neural,0,0,0,0,0.00389105058365759,0,0,0,3.61277477159235e-05,0
mural_smc__neural,0,0,0,0,0,0,6.81751556097927e-05,0,0,0
glia__mural_smc,0,0,0,0,0,0,5.45401244878341e-05,0,0,0
glia__proliferating,0,0,0,0,0,0,1.36350311219585e-05,0,0,0
hepatocyte__unassigned,0,0,0,0,0,0,0,0.000335092569322275,0,0.0194059347092825
neural__proliferating,0,0,0,0,0,0,0,8.37731423305688e-05,0,0
epithelial__neural,0,0,0,0,0,0,0,0,0.000124440019910403,3.71476544970951e-05
bcell__glia,0,0,0,0,0,0,0,0,1.60567767626327e-05,0
epithelial__glia,0,0,0,0,0,0,0,0,1.60567767626327e-05,1.4859061798838e-05
hepatocyte__hepatocyte,0,0,0,0,0,0,0,0,0,0.00138189274729194
epithelial__hepatocyte,0,0,0,0,0,0,0,0,0,0.00127787931470007
endothelial__hepatocyte,0,0,0,0,0,0,0,0,0,0.000386335606769789
hepatocyte__myeloid,0,0,0,0,0,0,0,0,0,0.000208026865183732
fibroblast__hepatocyte,0,0,0,0,0,0,0,0,0,0.000141161087088961
hepatocyte__neural,0,0,0,0,0,0,0,0,0,5.94362471953521e-05
hepatocyte__mast,0,0,0,0,0,0,0,0,0,2.2288592698257e-05
bcell__hepatocyte,0,0,0,0,0,0,0,0,0,1.11442963491285e-05
glia__hepatocyte,0,0,0,0,0,0,0,0,0,3.71476544970951e-06
hepatocyte__tcell,0,0,0,0,0,0,0,0,0,3.71476544970951e-06
