image_id,condition,n_cells,n_edges,mean_degree,edge_density,mean_cell_area,std_cell_area,cv_cell_area,mean_aj_occupancy,std_aj_occupancy,median_aj_occupancy,mean_aj_clusters,std_aj_clusters,max_aj_clusters,mean_aj_intensity,std_aj_intensity,mean_linearity,std_linearity,mean_thickness,std_thickness,mean_skeleton_len,std_skeleton_len,prop_reticular,prop_straight,prop_fingers,prop_other,prop_thick,prop_thick_to_reticular
EGM2_regular_6dyn-81,6dyne,110,253,4.6,0.04220183486238532,8861.327272727272,5068.135734026411,0.5719386699128852,0.36996281599818565,0.23378865311748775,0.343042071197411,6.778656126482214,5.1198356647900685,30,0.42106102268808104,0.1723042516793229,0.9691020990854716,0.5507385393781825,2.5828144343889234,1.0893858135054777,56.715415019762844,42.61396996335114,0.6403162055335968,0.25296442687747034,0.05928853754940711,0.04743083003952569,0.0,0.0
EGM2_regular_6dyn-82,6dyne,139,348,5.0071942446043165,0.03628401626524867,7240.410071942446,4157.915642487561,0.574265214424807,0.45533786515418956,0.23417125179835568,0.45582058205820575,5.422413793103448,4.496205628102861,28,0.5002921347471743,0.1627278879791818,1.0912351035126504,1.0231412885349895,2.9197845490267955,1.3158594559979386,57.05747126436781,42.67951916461912,0.5431034482758621,0.28735632183908044,0.031609195402298854,0.13218390804597702,0.0028735632183908046,0.0028735632183908046
EGM2_regular_6dyn-83,6dyne,125,308,4.928,0.03974193548387097,8153.192,5438.9027663259785,0.6670887630667816,0.4550584172959871,0.22980364461834785,0.46690140845070427,5.035714285714286,4.3242393629329285,27,0.5025158930903464,0.1628484897832035,1.0487214890558092,1.0246180741846944,2.854905699727555,0.9609785424453794,58.6525974025974,40.433716536709035,0.4837662337662338,0.36038961038961037,0.04220779220779221,0.11363636363636363,0.0,0.0
EGM2_regular_6dyn-84,6dyne,89,167,3.752808988764045,0.04264555669050051,9108.460674157302,6150.91953594261,0.6752973697733708,0.29807015731065467,0.23683014401734392,0.25,6.479041916167665,4.741305706178127,19,0.3723034330175773,0.17517082687505317,0.8587892205132734,0.6396664429259874,2.352283805755317,1.1220266466268987,46.56287425149701,39.80608794483633,0.6107784431137725,0.2754491017964072,0.08383233532934131,0.029940119760479042,0.0,0.0
EGM2_regular_6dyn-85,6dyne,115,280,4.869565217391305,0.04271548436308162,8725.626086956521,5689.15005593653,0.6520047959012295,0.3882292946498474,0.21612876855032542,0.38397435897435894,6.742857142857143,5.167268683027923,27,0.44478530930881094,0.16352180629817079,1.0103108965828511,0.8528063288736889,2.630196482824248,1.0711622023658338,58.72142857142857,42.570046490072365,0.6428571428571429,0.21428571428571427,0.04642857142857143,0.09285714285714286,0.0,0.0035714285714285713
EGM2_regular_6dyn-86,6dyne,117,288,4.923076923076923,0.042440318302387266,8730.74358974359,5351.208447395794,0.6129155429191744,0.379500531489666,0.2163271858983466,0.36299242165631185,6.083333333333333,4.759732373233643,27,0.4301186009657753,0.1535224187681289,1.0428396154962354,0.676196758687647,2.548086645652592,0.927124939773254,59.052083333333336,42.937042426899154,0.6111111111111112,0.2638888888888889,0.052083333333333336,0.07291666666666667,0.0,0.0
EGM2_regular_6dyn-87,6dyne,116,287,4.948275862068965,0.04302848575712144,8622.094827586207,5431.093817252571,0.6299042084153266,0.3712564241778502,0.2125772114562918,0.3660886319845857,6.181184668989547,4.711456947026071,30,0.4347609424864931,0.15656206859434527,1.126655416915849,1.8068317710485202,2.607576123377712,0.953639540679708,56.22299651567944,43.36580975059918,0.6550522648083623,0.24390243902439024,0.0627177700348432,0.03832752613240418,0.0,0.0
EGM2_regular_6dyn-88,6dyne,116,283,4.879310344827586,0.0424287856071964,8783.396551724138,5348.920461387407,0.6089808686068535,0.3776149574879355,0.2204775912890446,0.3734567901234568,6.614840989399293,5.343856308002996,29,0.437970185703888,0.16272095731190014,0.9427274491501281,0.601355513628606,2.656956834740638,1.2087152264682701,57.50883392226148,47.89596911907409,0.6501766784452296,0.2508833922261484,0.04240282685512368,0.04946996466431095,0.007067137809187279,0.0
EGM2_regular_6dyn-89,6dyne,122,296,4.852459016393443,0.04010296707763176,7991.295081967213,5474.880371821903,0.6851055199020576,0.46261875344038883,0.25692436072041,0.472126062686155,5.533783783783784,4.829170600144032,27,0.5049417371644784,0.18476888074857747,1.0697273596108916,0.8647433487086914,2.903936063942181,1.224826969380197,58.03378378378378,40.84006267372481,0.5101351351351351,0.35135135135135137,0.033783783783783786,0.10472972972972973,0.0,0.0
EGM2_regular_6dyn-90,6dyne,115,285,4.956521739130435,0.043478260869565216,8742.182608695652,6364.638644919022,0.7280377143561677,0.44915231044281273,0.23781135635565814,0.4393939393939394,6.035087719298246,4.64729556475827,27,0.4978288094061135,0.16386377328122737,1.0684052426481019,0.6880324708564025,2.8003177717166303,1.0538808437812492,59.4140350877193,41.96272423065403,0.6035087719298246,0.23859649122807017,0.05964912280701754,0.09824561403508772,0.0,0.0
EGM2_regular_static-11,static,117,240,4.102564102564102,0.03536693191865606,6326.495726495727,5045.29373674792,0.797486310726164,0.4301893139529948,0.2796639942750025,0.42353437181023385,5.904166666666667,5.336695353332596,26,0.4527966259661624,0.19733124965036844,1.1734634149474863,1.0551127990978149,2.772225556459545,1.3918435676226437,48.37083333333333,38.25011257857108,0.5166666666666667,0.25833333333333336,0.075,0.14583333333333334,0.004166666666666667,0.0
EGM2_regular_static-12,static,136,306,4.5,0.03333333333333333,6941.007352941177,5246.480199279038,0.7558672585263722,0.372771900502825,0.2643611785531952,0.3362304472350738,6.137254901960785,5.134338048261758,25,0.40514041539841855,0.19596568766756778,1.025191235360051,0.6768324980869646,2.4171213326510674,1.0885659868301367,48.93464052287582,45.38096274547752,0.5490196078431373,0.2549019607843137,0.06862745098039216,0.12745098039215685,0.0,0.0
EGM2_regular_static-13,static,145,350,4.827586206896552,0.033524904214559385,6734.793103448276,4555.452124006878,0.6764056525618352,0.40090167612159316,0.26998508827305356,0.3841036414565826,6.2457142857142856,5.136773588360318,29,0.4383770228486386,0.19383468419440855,1.1155164756630276,1.315592342178147,2.5273250908253506,1.1644604017435463,52.76571428571429,46.29396504237963,0.5628571428571428,0.23142857142857143,0.09142857142857143,0.11428571428571428,0.0,0.0
EGM2_regular_static-14,static,132,257,3.893939393939394,0.02972472819801064,6241.674242424242,4308.358867331406,0.6902569246641838,0.3789165894738282,0.2881630314759101,0.3381555153707052,5.299610894941634,5.0194659985406656,30,0.40193679683019085,0.2096330740788686,1.1009083399104234,1.0472666542649167,2.4760501832700883,1.326783933882751,41.88326848249027,34.55851570923282,0.45525291828793774,0.3229571984435798,0.0933852140077821,0.12840466926070038,0.0,0.0
EGM2_regular_static-15,static,149,314,4.214765100671141,0.028478142572102304,5915.496644295302,4377.973796459803,0.7400855853213556,0.39693883640248917,0.2686635970422659,0.36620370370370364,5.808917197452229,5.142237250031727,29,0.40986745290866994,0.1936029146288815,1.0329012670665088,1.1254312961775232,2.5697687279835764,1.3236921779151465,45.30891719745223,38.002901984021946,0.5222929936305732,0.30254777070063693,0.044585987261146494,0.12738853503184713,0.0031847133757961785,0.0
EGM2_regular_static-16,static,121,273,4.512396694214876,0.03760330578512397,7689.785123966943,5749.853191178901,0.747726119584043,0.3686122186188586,0.2719224650415569,0.3148148148148148,6.531135531135531,6.263217009554248,31,0.3961644871966703,0.20554112036647285,1.0166113890474213,0.8010252715942436,2.5217374917714523,1.409266735185489,48.904761904761905,43.41097735806086,0.5238095238095238,0.29304029304029305,0.07692307692307693,0.10256410256410256,0.003663003663003663,0.0
EGM2_regular_static-17,static,144,326,4.527777777777778,0.031662781662781664,6264.493055555556,4164.715312757293,0.6648128229727844,0.4107090305724172,0.2813734005221261,0.3640374503013979,5.825153374233129,5.354806250127447,26,0.44152169053971213,0.21090233453448262,1.0356777627849427,0.9281192984589252,2.7925196454291283,3.229026239215726,49.487730061349694,42.31724329105809,0.5245398773006135,0.2791411042944785,0.05828220858895705,0.13496932515337423,0.003067484662576687,0.0
