image_id,image_path,cell_i,cell_j,contact_px,iface_cy,iface_cx,aj_threshold,aj_channel_idx,cell_channel_idx,nuc_channel_idx,golgi_channel_idx,aj_mean_intensity,aj_max_intensity,aj_std_intensity,aj_occupancy,aj_intensity_per_interface,aj_cluster_count,aj_cluster_area_mean,aj_skeleton_len,aj_linearity_index,aj_thickness_proxy,aj_morph,dataset,shear_stress,supplementation,replicate,section
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,9,34,114,97.32456140350877,467.2456140350877,0.470703125,2,2,0,0,0.4519827110148252,0.9304511278195488,0.2328804639320938,0.4858757062146893,0.3167771122722059,7,24.571428571428573,83.0,1.4970150304192793,2.072289156626506,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,28,34,413,180.7602905569007,458.2881355932203,0.470703125,2,2,0,0,0.5745075696400906,1.0,0.2808364401065545,0.6070007955449482,0.4648270437430091,9,84.77777777777777,238.0,1.0984550387468113,3.2058823529411766,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,15,27,178,122.0,704.443820224719,0.470703125,2,2,0,0,0.7489706408879341,1.0,0.2572376292132894,0.8095238095238095,0.6875895094880057,4,110.5,114.0,2.183843930304225,3.877192982456141,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,28,33,264,148.5,511.95454545454544,0.470703125,2,2,0,0,0.4407941495529869,1.0,0.2493869820305376,0.4266169154228855,0.294016290726817,12,28.583333333333332,145.0,1.159406535741677,2.3655172413793104,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,5,32,20,89.5,327.9,0.470703125,2,2,0,0,0.3705879281537176,0.8486842105263158,0.2129705284556155,0.2777777777777778,0.1877219089390142,3,6.666666666666667,12.0,1.8973665961010275,1.6666666666666667,other,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,17,35,58,92.84482758620688,876.0,0.470703125,2,2,0,0,0.8010651629072684,1.0,0.2041674064266177,0.9193548387096774,0.7715862236235751,1,171.0,34.0,1.1161046793076417,5.029411764705882,straight,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,9,29,66,105.0,434.8030303030303,0.470703125,2,2,0,0,0.357876834944504,0.9304511278195488,0.2137943791467378,0.2904761904761905,0.1826843895452918,8,7.625,29.0,1.9333333333333331,2.103448275862069,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,19,35,212,141.1556603773585,868.4716981132076,0.470703125,2,2,0,0,0.504427640201421,1.0,0.1997312755415684,0.5474006116207951,0.3555893748131797,14,25.571428571428573,177.0,1.476384760123478,2.022598870056497,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,5,36,174,137.5,299.235632183908,0.470703125,2,2,0,0,0.3309502689307538,0.8693609022556391,0.1667737691691077,0.2041198501872659,0.1188258567767734,20,5.45,65.0,0.635121876173418,1.676923076923077,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
BSA_static-115,/Users/okezuebell/Downloads/EndoPiGraph-AJmorph-v1/data/S-BIAD1540/Files/figure2_6/BSA_01/static/BSA_static-115.tif,32,36,136,128.5,318.13235294117646,0.470703125,2,2,0,0,0.4266850161117078,1.0,0.2169439940509615,0.3976190476190476,0.257438238453276,12,13.916666666666666,65.0,0.9921640801680784,2.5692307692307694,reticular,S-BIAD1540,static,BSA 0.1,rep 1,
