cell_id,area,perimeter,centroid_y,centroid_x,eccentricity,orientation_rad,major_axis_length,minor_axis_length,dataset,shear_stress,supplementation,replicate,section
104,3252.0,290.5685424949238,583.610086100861,48.43419434194342,0.9554446314984342,1.5222455814256617,122.95331438566271,36.292177135863824,S-BIAD1540,static,BSA 0.1,rep 1,nan
105,9515.0,389.889393668845,629.9623751970573,550.2256437204414,0.6255289056223156,-0.42029591846656045,126.19239954094847,98.45543533003448,S-BIAD1540,static,BSA 0.1,rep 1,nan
106,2646.0,211.89444430272832,598.5903250188965,318.9754346182918,0.8071597075368242,-0.9362401754044067,76.43309590543362,45.120988880854654,S-BIAD1540,static,BSA 0.1,rep 1,nan
107,12568.0,510.92597359530424,661.716581795035,783.7582749840866,0.9017121537135848,-0.6224531136893955,198.83265182189893,85.96269155864614,S-BIAD1540,static,BSA 0.1,rep 1,nan
108,11016.0,473.9482681718907,676.7070624546114,874.2578068264343,0.9112917892284111,-0.11314525646498591,187.0919037920757,77.03718433017914,S-BIAD1540,static,BSA 0.1,rep 1,nan
109,4294.0,284.91883092036784,623.1443875174663,213.5689333954355,0.9044077511142345,-1.0206047651939962,115.00078845815122,49.06729622958729,S-BIAD1540,static,BSA 0.1,rep 1,nan
110,6133.0,335.41525958289964,624.3432251752813,95.51116908527638,0.784016787667729,-1.3954379192425852,115.46150136330365,71.67152855691023,S-BIAD1540,static,BSA 0.1,rep 1,nan
111,8803.0,488.22139213105936,690.1623310235148,458.9737589458139,0.9534619864773596,-0.516510872625258,198.89055471891572,59.96813768516627,S-BIAD1540,static,BSA 0.1,rep 1,nan
112,5420.0,413.7300141024109,645.0044280442804,414.68837638376385,0.9694793514643375,-0.9380009106983018,177.68815885762652,43.56433431702343,S-BIAD1540,static,BSA 0.1,rep 1,nan
113,1730.0,171.01219330881975,621.4901734104046,23.284971098265896,0.7531867829721596,1.0025424080152872,59.11581344246054,38.886778849987415,S-BIAD1540,static,BSA 0.1,rep 1,nan
114,2716.0,255.04267658086914,640.3508836524301,373.8000736377025,0.9325050475342264,-0.733123871663592,100.15576808823164,36.171950866561275,S-BIAD1540,static,BSA 0.1,rep 1,nan
115,8032.0,687.2173875177026,723.1258715139443,195.050796812749,0.9903155845771796,-0.8349414959513451,331.23525736513847,45.986910628638874,S-BIAD1540,static,BSA 0.1,rep 1,nan
116,5544.0,326.8772003600252,660.97601010101,309.5992063492063,0.888165225117714,-0.7963893482654445,125.39653843972232,57.62274980886844,S-BIAD1540,static,BSA 0.1,rep 1,nan
117,2843.0,245.80613254815972,661.4045022863173,225.66373549067887,0.9253883083263336,-0.778191354601451,99.65530341326696,37.771394959650046,S-BIAD1540,static,BSA 0.1,rep 1,nan
118,5657.0,319.0132393293463,658.0197984797596,662.7063814742796,0.7875538012719053,1.1487200411085758,110.3468855332986,68.00081586245584,S-BIAD1540,static,BSA 0.1,rep 1,nan
119,903.0,130.11879502661796,646.5548172757475,144.98781838316722,0.8996967910157656,-1.182080040179502,52.121253663783456,22.751729282519317,S-BIAD1540,static,BSA 0.1,rep 1,nan
120,2331.0,200.5685424949238,660.8614328614328,25.92664092664093,0.7022986874417426,1.520395066032975,66.96531917191159,47.67143223176951,S-BIAD1540,static,BSA 0.1,rep 1,nan
121,10326.0,567.5655839020935,739.7792949835367,539.08415649816,0.97523800639466,-0.7265792262013622,248.07583135035546,54.86393783886008,S-BIAD1540,static,BSA 0.1,rep 1,nan
122,7754.0,397.33304448274095,692.9361619809131,106.33930874387413,0.8674927373660394,-1.1863478361062578,145.4476501342295,72.35291135502756,S-BIAD1540,static,BSA 0.1,rep 1,nan
123,9121.0,493.4284989122459,742.6596864378906,372.7658151518474,0.9479524488432265,-0.6316681947364929,196.9135364818358,62.69961844162463,S-BIAD1540,static,BSA 0.1,rep 1,nan
124,4580.0,351.1797615707168,728.1901746724891,146.52860262008733,0.9667303524409373,-0.7782354797646279,153.3869681862146,39.23602238199064,S-BIAD1540,static,BSA 0.1,rep 1,nan
125,10081.0,624.8254685319159,797.2253744668187,798.766491419502,0.9758620913615723,-0.35496425986098024,273.5040924032321,59.72992412756249,S-BIAD1540,static,BSA 0.1,rep 1,nan
126,2652.0,219.1543289325507,706.9253393665158,24.015082956259427,0.7534727510535453,-0.6304904535671418,73.65832961584813,48.42881486710936,S-BIAD1540,static,BSA 0.1,rep 1,nan
127,6004.0,321.30360723121805,727.7136908727515,621.8655896069287,0.8579891546306605,-0.7467777730795129,123.3411791347292,63.35639234916669,S-BIAD1540,static,BSA 0.1,rep 1,nan
128,5129.0,352.07315985291854,744.3525053616689,478.66133749268863,0.9657708931626179,-0.6967610001634555,160.06323800418002,41.51985535088695,S-BIAD1540,static,BSA 0.1,rep 1,nan
129,17434.0,692.6366517139589,777.388493747849,258.5727314443042,0.921149971987337,-0.7902769149454012,250.5639695626984,97.5214569944896,S-BIAD1540,static,BSA 0.1,rep 1,nan
130,19917.0,648.8021279348029,799.7008585630366,660.8184967615605,0.9075177728246053,-0.6328724136503879,248.90220298047365,104.54233041773976,S-BIAD1540,static,BSA 0.1,rep 1,nan
131,16817.0,705.2274887854692,851.5500386513647,942.7685675209609,0.963331627400942,0.28516099813888257,300.8971894746752,80.73480124328022,S-BIAD1540,static,BSA 0.1,rep 1,nan
