gene,median_boundary_frac,mean_boundary_frac,p25,p75,mean_cell_total,n_cells_used
CCL13,0.0,0.2034909047165082,0.0,0.5,2.6317440401505645,3188
C2orf88,0.0,0.15715643435053323,0.0,0.3333333333333333,2.226023846552618,1929
CXCL14,0.0,0.22702137012955217,0.0,0.5,3.0564620564620566,3861
CCL11,0.0,0.20063115770172396,0.0,0.5,2.9191624056488923,4107
CPA3,0.0,0.23628151181991452,0.0,0.5,4.100861868157466,4293
CHRM3,0.0,0.18119669936994076,0.0,0.5,2.106001936108422,2066
CES1,0.0,0.12807451243098422,0.0,0.0,2.3188253801782905,3814
CST7,0.0,0.1735619629851318,0.0,0.4642857142857143,2.291931310279934,4251
DERL3,0.0,0.07756682410030986,0.0,0.0,2.7888694298501653,5139
CXCL1,0.0,0.17661316202918026,0.0,0.3333333333333333,3.7302458296751535,4556
CXCL3,0.0,0.1543386282753213,0.0,0.25,3.374516441005803,4136
CEACAM6,0.0,0.23257067966599854,0.0,0.5,2.4455421091627563,4049
CPE,0.0,0.18720578689959405,0.0,0.4,2.6598984771573604,5910
ADAM28,0.0,0.12124229461200604,0.0,0.0,2.261228032111087,4609
ARHGAP24,0.0,0.13702863478594474,0.0,0.0,2.1875378100423473,3306
CDKN2B,0.0,0.15724521659091242,0.0,0.3333333333333333,2.4956181241842255,5363
CD36,0.0,0.21508275285336512,0.0,0.5,2.7622398123717384,6822
CD3D,0.0,0.17919945309534038,0.0,0.5,2.32649407876618,7262
C1QB,0.0,0.20259605258294275,0.0,0.5,2.7489308870188993,7249
CEP126,0.0,0.1597064617592435,0.0,0.5,2.1364066193853426,4230
CD3G,0.0,0.17945890684535154,0.0,0.5,2.397199798183653,7928
CXCL2,0.0,0.17004622946402304,0.0,0.3333333333333333,3.349133749133749,7215
CEACAM1,0.0,0.18086511983355238,0.0,0.5,2.2226190476190477,5880
AKR7A3,0.0,0.17860520092186455,0.0,0.5,2.15839243498818,5499
